Publication Number,Application Number,Disclosure-Information ,Specification,Responsible Working Group,CT WG 4,SA 2,RAN 3,RAN 2,RAN 5,RAN 6,SA 6,SA 5,CT WG 3,CT WG 1,RAN 4,SA 1,RAN 1,SA 3,CT WG 6,SA 4
US20190053159A1,US16100659A,ISLD : ISLD-201905-039 Disc : 12 Project : 5G Standard : TS 38.212|TS 38.300|TS 38.211|TS 38.331|TS 38.321 Version : |||| Section : |||| Disclosure-Date : 05/21/19,TS 38.212|TS 38.300|TS 38.211|TS 38.331|TS 38.321,RAN 1|RAN 2|RAN 1|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
WO2019028836A1,WO2017CN97106A,ISLD : ISLD-201907-005 Disc : 1 Project : 5G Standard : TS 38.214|TS 38.331|TS 38.212|TS 38.331 Version : 15.2.0|15.2.1|15.2.0|15.2.1 Section : 6.2.1|6.3.2|7.3.1| Disclosure-Date : 07/29/19,TS 38.214|TS 38.331|TS 38.212|TS 38.331,RAN 1|RAN 2|RAN 1|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
WO2019030913A1,WO2017JP29184A,"ISLD : ISLD-201907-035 Disc : 56 Project : 3GPP-Release-15 Standard : TS 38.211|TS 38.214|TS 38.214|TS 38.211 Version : 15.3.0|15.3.0|15.3.0|15.3.0 Section : ||Section5.1.6.3|Section7.1.1,7.4.1.1,7.4.1.2 Disclosure-Date : 07/24/19",TS 38.211|TS 38.214|TS 38.214|TS 38.211,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
WO2019030926A1,WO2017JP29216A,"ISLD : ISLD-201907-035 Disc : 133 Project : 3GPP-Release-15 Standard : TS 38.213|TS 38.212|TS 38.321|TS 38.331|TS 38.213|TS 38.331|TS 38.321|TS 38.212 Version : 15.5.0|15.5.0|15.5.0|15.5.0|15.5.0|15.5.0|15.5.0|15.5.0 Section : |Section7.3.1.1.2|||Section7.1.1,7.7,7.7.1|Section6.3.2|Section4.2.2,5.4.6,6.1.3.8,6.1.3.9| Disclosure-Date : 07/24/19",TS 38.213|TS 38.212|TS 38.321|TS 38.331|TS 38.213|TS 38.331|TS 38.321|TS 38.212,RAN 1|RAN 1|RAN 2|RAN 2|RAN 1|RAN 2|RAN 2|RAN 1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0
WO2019031541A1,WO2018JP29743A,"ISLD : ISLD-201907-035 Disc : 166 Project : 3GPP-Release-15 Standard : TS 38.470|TS 38.473|TS 38.473|TS 38.470|TS 38.401|TS 38.401 Version : 15.2.0|15.2.1|15.2.1|15.2.0|15.2.0|15.2.0 Section : ||Section8.4.1,8.4.2,9.2.1.13,9.2.1.14,9.3.1.25,9.3.1.26|Section5.2.1,5.2.4||Section3.1,6.1.1 Disclosure-Date : 07/24/19",TS 38.470|TS 38.473|TS 38.473|TS 38.470|TS 38.401|TS 38.401,RAN 3|RAN 3|RAN 3|RAN 3|RAN 3|RAN 3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
WO2019031947A1,WO2018KR9274A,ISLD : ISLD-201907-037 Disc : 182 Project : 3GPP 5G NR Standard : TS 38.331|TS 36.331|TS 37.340 Version : 15.6.0|15.6.0|15.6.0 Section : || Disclosure-Date : 07/24/19,TS 38.331|TS 36.331|TS 37.340,RAN 2|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
EP3440870A1,EP2016898142A,ISLD : ISLD-201811-014 Disc : 1 Project : 3GPP 5G NR Standard : TS 38.410|TS 23.285|TS 38.401|TS 23.286 Version : ||| Section : ||| Disclosure-Date : 11/27/18,TS 38.410|TS 23.285|TS 38.401|TS 23.286,RAN 3|SA 2|RAN 3|SA 6,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
GB2555209B,GB201713368A,ISLD : ISLD-201907-046 Disc : 98 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 24.301|TS 36.331 Version : || Section : || Disclosure-Date : 07/31/19,TS 38.331|TS 24.301|TS 36.331,RAN 2|CT WG 1|RAN 2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
CN105142147B,CN201510679457A,ISLD : ISLD-201705-001 Disc : 27 Project : 3GPP NR Rel 15 Standard : TS 38.300|TS 38.401|TS 38.413 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/19/17,TS 38.300|TS 38.401|TS 38.413,RAN 2|RAN 3|RAN 3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
US10206201B2,US15311001A,ISLD : ISLD-201809-213 Disc : 16 Project : 5G Standard : TS 38.215|TS 38.211 Version : 15.2.0|15.2.0 Section : | Disclosure-Date : 09/12/18,TS 38.215|TS 38.211,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
US10206076B2,US15576662A,ISLD : ISLD-201905-032 Disc : 15 Project : 5G Standard : TS 23.401|TS 23.682 Version : | Section : | Disclosure-Date : 05/24/19,TS 23.401|TS 23.682,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20190045341A1,US16074051A,ISLD : ISLD-201809-273 Disc : 88 Project : 5G Standard : TS 23.401|TS 23.501 Version : | Section : | Disclosure-Date : 09/18/18,TS 23.401|TS 23.501,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WO2019024115A1,WO2017CN96111A,ISLD : ISLD-201812-071 Disc : 157 Project : New Radio(NR) Standard : TS 38.101|TS 38.331|TS 38.213|TS 38.321|TS 38.300|TS 38.322|TS 38.423|TS 38.212|TS 38.211|TS 38.214 Version : ||||||||| Section : ||||||||| Disclosure-Date : 01/02/19,TS 38.101|TS 38.331|TS 38.213|TS 38.321|TS 38.300|TS 38.322|TS 38.423|TS 38.212|TS 38.211|TS 38.214,RAN 4|RAN 2|RAN 1|RAN 2|RAN 2|RAN 2|RAN 3|RAN 1|RAN 1|RAN 1,0,0,1,4,0,0,0,0,0,0,1,0,4,0,0,0
WO2019027827A1,WO2018US44063A,ISLD : ISLD-201902-032 Disc : 4 Project : 3GPP 5G NR Standard : GS NFV-IFA 013 (DGS/NFV-IFA013)|TS 28.525 Version : 2.1.1|15.0.0 Section : | Disclosure-Date : 02/27/19,GS NFV-IFA 013 (DGS/NFV-IFA013)|TS 28.525,SA 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
US20190045491A1,US16142488A,"ISLD : ISLD-201902-032 Disc : 12 Project : 3GPP 5G NR Standard : TS 38.331|TS 38.321|TS 38.321|TS 38.331 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : ||5.15|5.3.5.5.2, 6.3.2 Disclosure-Date : 02/27/19",TS 38.331|TS 38.321|TS 38.321|TS 38.331,RAN 2|RAN 2|RAN 2|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
US20190045490A1,US16126260A,ISLD : ISLD-201902-032 Disc : 22 Project : 3GPP 5G NR Standard : TS 38.212|TS 38.214|TS 38.212|TS 38.214 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : ||Subclause 7.1.3.2.2|Subclause 5.1.4.1 Disclosure-Date : 02/27/19,TS 38.212|TS 38.214|TS 38.212|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
US20190044811A1,US16123722A,ISLD : ISLD-201902-032 Disc : 23 Project : 3GPP 5G NR Standard : TS 38.331|TS 38.212|TS 38.331|TS 38.212|TS 38.321|TS 38.321 Version : 15.4.0|15.4.0|15.4.0|15.4.0|15.4.0|15.4.0 Section : 6.3.2|7.3.1||||5.15 Disclosure-Date : 02/27/19,TS 38.331|TS 38.212|TS 38.331|TS 38.212|TS 38.321|TS 38.321,RAN 2|RAN 1|RAN 2|RAN 1|RAN 2|RAN 2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
WO2019028276A1,WO2018US45048A,ISLD : ISLD-201902-032 Disc : 25 Project : 3GPP 5G NR Standard : TS 38.214|TS 38.213|TS 38.214|TS 38.213 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : |Subclause 11.1 and 11.1.1|Subclause 5.1.4 and 5.1.4.1| Disclosure-Date : 02/27/19,TS 38.214|TS 38.213|TS 38.214|TS 38.213,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
US20190044838A1,US16126162A,"ISLD : ISLD-201902-032 Disc : 31 Project : 3GPP 5G NR Standard : GS NFV-IFA 027 (DGS/NFV-IFA027)|TS 28.500 Version : 2.4.1|15.0.0 Section : |7.2.8, 7.2.9, 7.2.10, 7.2.11, 7.2.12, 7.2.13, 7.2.14, 7.2.15| Disclosure-Date : 02/27/19",GS NFV-IFA 027 (DGS/NFV-IFA027)|TS 28.500,SA 5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
US20190045469A1,US16074637A,ISLD : ISLD-201905-014 Disc : 52 Project : 3GPP 5G NR Standard : TS 38.331|TS 36.423|TS 37.340 Version : 15.1.0|15.1.0|15.1.0 Section : || Disclosure-Date : 05/09/19,TS 38.331|TS 36.423|TS 37.340,RAN 2|RAN 3|RAN 2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
US20190045544A1,US16075035A,ISLD : ISLD-201905-014 Disc : 53 Project : 3GPP 5G NR Standard : TS 38.331|TS 36.423|TS 23.501 Version : 15.1.0|15.1.0|15.1.0 Section : || Disclosure-Date : 05/09/19,TS 38.331|TS 36.423|TS 23.501,RAN 2|RAN 3|SA 2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WO2019027233A1,WO2018KR8695A,ISLD : ISLD-201905-030 Disc : 9 Project : 5G Standard : TS 24.008|TS 24.301 Version : | Section : | Disclosure-Date : 05/20/19,TS 24.008|TS 24.301,CT WG 1|CT WG 1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
WO2019026157A1,WO2017JP27772A,"ISLD : ISLD-201907-035 Disc : 82 Project : 3GPP-Release-15 Standard : TS 38.211|TS 38.321|TS 38.321|TS 38.213|TS 38.213|TS 38.211 Version : 15.3.0|15.3.0|15.3.0|15.3.0|15.3.0|15.3.0 Section : Section4.4.4.4,4.4.5|Section5.15|||Section12,9.2.1| Disclosure-Date : 07/24/19",TS 38.211|TS 38.321|TS 38.321|TS 38.213|TS 38.213|TS 38.211,RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
WO2019026831A1,WO2018JP28414A,ISLD : ISLD-201907-035 Disc : 139 Project : 3GPP-Release-15 Standard : TS 38.213|TS 38.101|TS 38.211|TS 38.101|TS 38.213|TS 38.211 Version : 15.5.0|15.5.0|15.5.0|15.5.0|15.5.0|15.5.0 Section : |||Section6.2.4|Section7.1.1|Section6.3.1 Disclosure-Date : 07/24/19,TS 38.213|TS 38.101|TS 38.211|TS 38.101|TS 38.213|TS 38.211,RAN 1|RAN 4|RAN 1|RAN 4|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0
US20190045423A1,US16074574A,ISLD : ISLD-201907-046 Disc : 180 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 24.008|TS 24.301|TS 36.300 Version : ||| Section : ||| Disclosure-Date : 07/31/19,TS 38.300|TS 24.008|TS 24.301|TS 36.300,RAN 2|CT WG 1|CT WG 1|RAN 2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
RU2679245C1,RU2017134492A,ISLD : ISLD-201705-014 Disc : 20 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.212|TS 38.331|TS 38.214 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : ||| Disclosure-Date : 05/19/17,TS 38.213|TS 38.212|TS 38.331|TS 38.214,RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
EP1743467B1,EP2005737952A,ISLD : ISLD-201901-026 Disc : 12 Project : 5G Standard : TS 26.234|TS 26.234 Version : 15.1.0|15.1.0 Section : |11 Disclosure-Date : 02/05/19,TS 26.234|TS 26.234,SA 4|SA 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EP3437347A1,EP2016897330A,ISLD : ISLD-201903-005 Disc : 6 Project : 5G|3GPP-EUTRAN Standard : TS 23.285|TS 23.285 Version : 15.1.0|15.1.0 Section : |5.4.2.2 Disclosure-Date : 03/14/19,TS 23.285|TS 23.285,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN109309946A,CN201811202716A,ISLD : ISLD-201810-040 Disc : 93 Project : New Core(NC) Standard : TS 24.008|TS 38.300|TS 23.203|TS 38.413|TS 23.502|TS 24.301|TS 23.501|TS 33.501|TS 24.501|TS 23.401|TS 38.331|TS 23.060|TS 23.503 Version : |||||||||||| Section : |||||||||||| Disclosure-Date : 10/23/18,TS 24.008|TS 38.300|TS 23.203|TS 38.413|TS 23.502|TS 24.301|TS 23.501|TS 33.501|TS 24.501|TS 23.401|TS 38.331|TS 23.060|TS 23.503,CT WG 1|RAN 2|SA 2|RAN 3|SA 2|CT WG 1|SA 2|SA 3|CT WG 1|SA 2|RAN 2|SA 2|SA 2,0,6,1,2,0,0,0,0,0,3,0,0,0,1,0,0
ES2698434T3,ES2007764146T,ISLD : ISLD-201901-026 Disc : 18 Project : 5G Standard : TS 33.223|TS 33.220|TS 33.223|TS 33.220 Version : 15.0.0|15.3.0|15.0.0|15.3.0 Section : 4.1.2|5.1.3|5.1.4|4.5.2|5.3.2|| Disclosure-Date : 02/05/19,TS 33.223|TS 33.220|TS 33.223|TS 33.220,SA 3|SA 3|SA 3|SA 3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
CN109302751A,CN201810820169A,ISLD : ISLD-201907-026 Disc : 67 Project : 3GPP 5G NR Standard : TS 38.331|TS 37.324 Version : | Section : | Disclosure-Date : 05/09/19,TS 38.331|TS 37.324,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
WO2019020171A1,WO2017EP68802A,ISLD : ISLD-201810-040 Disc : 86 Project : New Core(NC) Standard : TS 28.530|TS 38.300|TS 23.203|TS 28.533|TS 38.413|TS 23.502|TS 23.501|TS 33.501|TS 28.531|TS 24.501|TS 38.331|TS 23.503 Version : ||||||||||| Section : ||||||||||| Disclosure-Date : 10/23/18,TS 28.530|TS 38.300|TS 23.203|TS 28.533|TS 38.413|TS 23.502|TS 23.501|TS 33.501|TS 28.531|TS 24.501|TS 38.331|TS 23.503,SA 5|RAN 2|SA 2|SA 5|RAN 3|SA 2|SA 2|SA 3|SA 5|CT WG 1|RAN 2|SA 2,0,4,1,2,0,0,0,3,0,1,0,0,0,1,0,0
US20190037371A1,US16068502A,"ISLD : ISLD-201811-010 Disc : 3 Project : 5G Standard : TS 29.251|TS 29.251 Version : 14.2.0|14.2.0 Section : |3.1,3.2,4.1.,4.2,4.3.1,4.3.2,4.4.1,5.1,5.2,5.3.1,5.3.2,5.4,6.3,6.3.3.2,6.4.3.4 Disclosure-Date : 12/11/18",TS 29.251|TS 29.251,CT WG 3|CT WG 3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
WO2019023423A1,WO2018US43831A,"ISLD : ISLD-201902-032 Disc : 16 Project : 3GPP 5G NR Standard : TS 38.212|TS 38.211|TS 38.212|TS 38.211 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : ||7.1.1, 7.1.2|7.3.3.1 Disclosure-Date : 02/27/19",TS 38.212|TS 38.211|TS 38.212|TS 38.211,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
WO2019020050A1,WO2018CN97020A,ISLD : ISLD-201902-032 Disc : 18 Project : 3GPP 5G NR Standard : TS 38.214|TS 38.211|TS 38.214|TS 38.211 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : ||6.2.3|6.3.1.5 Disclosure-Date : 02/27/19,TS 38.214|TS 38.211|TS 38.214|TS 38.211,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
JP2017164348A1,JP2018507425A,ISLD : ISLD-201907-035 Disc : 30 Project : 3GPP-Release-15 Standard : TS 38.213|TS 38.213|TS 38.331|TS 38.331 Version : 15.2.0|15.2.0|15.2.0|15.2.0 Section : Section4.1||Section6.3.2| Disclosure-Date : 07/24/19,TS 38.213|TS 38.213|TS 38.331|TS 38.331,RAN 1|RAN 1|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
JP2017163784A1,JP2018507167A,ISLD : ISLD-201907-035 Disc : 148 Project : 3GPP-Release-15 Standard : TS 38.470|TS 38.470 Version : 15.2.0|15.2.0 Section : |Section6.1.5 Disclosure-Date : 07/24/19,TS 38.470|TS 38.470,RAN 3|RAN 3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
JP06462089B2,JP2017216102A,ISLD : ISLD-201809-265 Disc : 3 Project : 5G Standard : TS 23.402|TS 24.302 Version : 15.0.0|15.0.1 Section : 16.1.6|16.5|4.8.2 Disclosure-Date : 09/14/18,TS 23.402|TS 24.302,SA 2|CT WG 1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZA201704691B,ZA20174691A,"ISLD : ISLD-201810-064 Disc : 9 Project : 5G Standard : TS 23.303|TS 24.334|TS 36.300 Version : 15.0.0|15.0.0|15.0.0 Section : 5.1.1.5.2|10, 10.4.2, 11.4.2|5, 23.10 Disclosure-Date : 10/24/18",TS 23.303|TS 24.334|TS 36.300,SA 2|CT WG 1|RAN 2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
KR1943990B1,KR201592406A,ISLD : ISLD-201907-046 Disc : 162 Project : LTE Advanced Pro/5G Standard : TS 23.303|TS 23.401|TS 23.501 Version : || Section : || Disclosure-Date : 07/31/19,TS 23.303|TS 23.401|TS 23.501,SA 2|SA 2|SA 2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US10193681B2,US14889190A,ISLD : ISLD-201809-293 Disc : 5 Project : 5G Standard : TS 38.306|TS 38.213|TS 38.214|TS 38.211|TS 38.321 Version : 15.2.0|15.2.0|15.2.0|15.2.0|15.2.0 Section : |||| Disclosure-Date : 09/14/18,TS 38.306|TS 38.213|TS 38.214|TS 38.211|TS 38.321,RAN 2|RAN 1|RAN 1|RAN 1|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
US10194459B2,US15435109A,ISLD : ISLD-201905-032 Disc : 5 Project : 5G Standard : TS 36.331|TS 23.334 Version : | Section : | Disclosure-Date : 05/24/19,TS 36.331|TS 23.334,RAN 2|CT WG 4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HUE039696T2,HU2013E13894425A,ISLD : ISLD-201906-011 Disc : 1 Project : 5G Standard : TS 22.289 Version : 1.0.0 Section : 4 Disclosure-Date : 03/01/19,TS 22.289,SA 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CN109274619A,CN201710586378A,ISLD : ISLD-201905-019 Disc : 5 Project : 5G Standard : TS 36.213|TS 38.321|TS 38.300|TS 38.331|TS 38.101|TS 38.212|TS 38.211|TS 38.214 Version : ||||||| Section : ||||||| Disclosure-Date : 05/14/19,TS 36.213|TS 38.321|TS 38.300|TS 38.331|TS 38.101|TS 38.212|TS 38.211|TS 38.214,RAN 1|RAN 2|RAN 2|RAN 2|RAN 4|RAN 1|RAN 1|RAN 1,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0
US20190028323A1,US16139923A,"ISLD : ISLD-201812-005 Disc : 37 Project : 5G Standard : TS 23.141|TS 23.141 Version : 15.0.0|15.0.0 Section : 6.2,A2| Disclosure-Date : 12/18/18",TS 23.141|TS 23.141,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WO2019018418A1,WO2018US42520A,"ISLD : ISLD-201902-032 Disc : 14 Project : 3GPP 5G NR Standard : TS 38.300|TS 36.300|EN 03.146-1 Version : 15.4.0|15.4.0|1.2.1 Section : ||8.1, Fig. 8.2, 8.2.1, Tab. 8.1, 8.2.2, 8.3.2, 8.5 Disclosure-Date : 02/27/19",TS 38.300|TS 36.300|EN 03.146-1,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
WO2019017689A1,WO2018KR8118A,ISLD : ISLD-201906-009 Disc : 3 Project : 3GPP 5G NR Standard : TS 23.222|TS 38.300|TS 23.501|TS 23.122 Version : 15.3.0|15.3.0|15.3.0|15.3.0 Section : ||| Disclosure-Date : 06/20/19,TS 23.222|TS 38.300|TS 23.501|TS 23.122,SA 6|RAN 2|SA 2|CT WG 1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
US20190029066A1,US16068887A,ISLD : ISLD-201907-037 Disc : 1 Project : 3GPP 5G NR Standard : TS 23.501|TS 38.300|TS 23.502|TS 38.331 Version : 16.0.0|15.6.0|16.0.0|15.6.0 Section : ||| Disclosure-Date : 07/24/19,TS 23.501|TS 38.300|TS 23.502|TS 38.331,SA 2|RAN 2|SA 2|RAN 2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
US20190028866A1,US16068810A,ISLD : ISLD-201907-037 Disc : 9 Project : 3GPP 5G NR Standard : TS 23.682|TS 38.300|TS 38.331 Version : 16.0.0|15.6.0|15.6.0 Section : || Disclosure-Date : 07/24/19,TS 23.682|TS 38.300|TS 38.331,SA 2|RAN 2|RAN 2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
EP3432651A1,EP2018194380A,ISLD : ISLD-201901-025 Disc : 1 Project : 5G Standard : TS 36.213|TS 36.300|TS 36.321|TS 36.321|TS 36.300|TS 36.213 Version : 15.3.0|15.3.0|15.3.0|15.3.0|15.3.0|15.3.0 Section : 5.1.1.2|||5.4.6|5|7.5| Disclosure-Date : 02/05/19,TS 36.213|TS 36.300|TS 36.321|TS 36.321|TS 36.300|TS 36.213,RAN 1|RAN 2|RAN 2|RAN 2|RAN 2|RAN 1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
EP2101520B1,EP20098412A,ISLD : ISLD-201907-045 Disc : 133 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 38.331|TS 36.331|TS 36.440 Version : ||| Section : ||| Disclosure-Date : 07/31/19,TS 38.300|TS 38.331|TS 36.331|TS 36.440,RAN 2|RAN 2|RAN 2|RAN 3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
US10187837B2,US15832134A,ISLD : ISLD-201704-009 Disc : 26 Project : 3GPP NR Rel 15 Standard : TS 38.323|TS 38.300|TS 38.331 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/19/17,TS 38.323|TS 38.300|TS 38.331,RAN 2|RAN 2|RAN 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CN103947252B,CN201280056003A,ISLD : ISLD-201809-308 Disc : 24 Project : 5G Standard : TS 23.501|TS 38.304|TS 33.501|TS 23.502|TS 37.340|TS 38.300 Version : 15.2.0|15.0.0|15.1.0|15.2.0|15.0.0|15.2.0 Section : ||||| Disclosure-Date : 09/14/18,TS 23.501|TS 38.304|TS 33.501|TS 23.502|TS 37.340|TS 38.300,SA 2|RAN 2|SA 3|SA 2|RAN 2|RAN 2,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0
CN104796904B,CN201410023230A,ISLD : ISLD-201810-068 Disc : 14 Project : LTE-Advanced/5G Standard : TS 36.104|TS 36.300 Version : | Section : | Disclosure-Date : 10/24/18,TS 36.104|TS 36.300,RAN 4|RAN 2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CN105556887B,CN201480051737A,"ISLD : ISLD-201806-030 Disc : 72 Project : 3GPP-Release-15 Standard : TS 38.213|TS 38.211|TS 38.104 Version : || Section : || Disclosure-Date : 03/16/18
ISLD : ISLD-201903-008 Disc : 76 Project : 3GPP-Release-15 Standard : TS 38.300|TS 38.331 Version : | Section : | Disclosure-Date : 04/03/19",TS 38.213|TS 38.211|TS 38.104,RAN 1|RAN 1|RAN 4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
CN109246733A,CN201710319372A,"ISLD : ISLD-201811-005 Disc : 92 Project : 3GPP Release-15 Standard : TS 38.321|TS 38.213|TS 38.331 Version : 15.0.0|15.0.0|15.0.0 Section : 5.1.3,5.1.4,5.17|6|5.3.11.3 Disclosure-Date : 04/02/19",TS 38.321|TS 38.213|TS 38.331,RAN 2|RAN 1|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
CN109246744A,CN201710296266A,ISLD : ISLD-201905-003 Disc : 30 Project : 5G Standard : TS 38.331|TS 38.412|TS 38.321|TS 38.414|TS 38.413 Version : |||| Section : |||| Disclosure-Date : 05/06/19,TS 38.331|TS 38.412|TS 38.321|TS 38.414|TS 38.413,RAN 2|RAN 3|RAN 2|RAN 3|RAN 3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
CN104936307B,CN201510205716A,ISLD : ISLD-201907-045 Disc : 54 Project : LTE Advanced Pro/5G Standard : TS 33.501|TS 33.402|TS 23.401|TS 23.501 Version : ||| Section : ||| Disclosure-Date : 07/31/19,TS 33.501|TS 33.402|TS 23.401|TS 23.501,SA 3|SA 3|SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
JP2019501595A,JP2018535102A,ISLD : ISLD-201809-302 Disc : 1 Project : 5G Standard : TS 38.300|TS 23.501|TS 38.300 Version : 15.2.0|15.1.0|15.2.0 Section : 9.2.2|5.3.3.2.5| Disclosure-Date : 09/14/18,TS 38.300|TS 23.501|TS 38.300,RAN 2|SA 2|RAN 2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
WO2019012670A1,WO2017JP25613A,"ISLD : ISLD-201907-035 Disc : 66 Project : 3GPP-Release-15 Standard : TS 38.214|TS 38.211|TS 38.213|TS 38.213|TS 38.211|TS 38.214 Version : 15.3.0|15.3.0|15.3.0|15.3.0|15.3.0|15.3.0 Section : |Section7.4.3.1,7.4.1.1.2|Section4.1|||Section5.1.6.2 Disclosure-Date : 07/24/19",TS 38.214|TS 38.211|TS 38.213|TS 38.213|TS 38.211|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
WO2019012669A1,WO2017JP25612A,"ISLD : ISLD-201907-035 Disc : 70 Project : 3GPP-Release-15 Standard : TS 38.214|TS 38.212|TS 38.212|TS 38.214 Version : 15.3.0|15.3.0|15.3.0|15.3.0 Section : ||Section7.3.1.2.1,7.3.1.2.2|Section5.1.2,5.1.3,5.1.2.2.2 Disclosure-Date : 07/24/19",TS 38.214|TS 38.212|TS 38.212|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
